Respondent,State,Internet_use,Age,Weight
152354,17,1,34,0.7075538
152476,36,1,99,0.3110796
152507,5,1,65,1.4100418
152614,12,1,62,0.6898532
152647,25,1,31,1.0243825
152652,34,1,64,0.7458912
152662,37,1,59,1.0453862
152723,53,1,33,0.5614908
152890,6,1,30,1.0590054
152968,51,1,51,0.9814993
153029,28,1,69,0.9250309
153126,51,1,21,1.1473898
153155,45,2,65,1.7485667
153200,28,1,32,2.4596811
153268,23,1,18,2.3731893
153378,17,1,63,2.2659022
153397,48,1,62,0.9942416
153444,15,1,31,0.9004278
153452,13,2,90,0.631695
153456,26,1,34,0.7075538
153523,13,1,19,0.8430756
153617,6,1,58,0.6059635
153728,22,1,60,0.8347664
153759,48,2,67,2.2396729
153797,2,1,33,1.755979
153927,48,1,35,1.0566075
153992,54,1,51,1.4420564
